phase,asset_type,field,extraction_method,n,attr_confidence,composite,exact_pct,semantic_overlap,coverage_pct
M4: Experiment-Grounded,model_card,is_private,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,is_gated,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,ai_model_framework,mixed,10,0.760,0.800,20.0,0.00,80.0
M4: Experiment-Grounded,model_card,ai_model_license,mixed,10,0.630,0.658,30.0,0.00,70.0
M4: Experiment-Grounded,model_card,ai_model_model_type,mixed,10,0.380,0.398,60.0,0.00,40.0
M4: Experiment-Grounded,model_card,ai_model_version,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,ai_model_description,deterministic,10,0.900,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,ai_model_owner,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,ai_model_location,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,datasheet,title,deterministic,10,0.900,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,datasheet,description,llm,10,0.500,0.578,30.0,0.00,70.0
M4: Experiment-Grounded,datasheet,subjects,llm,10,0.465,0.546,40.0,0.00,60.0
M4: Experiment-Grounded,datasheet,creator,deterministic,10,0.900,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,datasheet,publisher,llm,10,0.450,0.504,40.0,0.00,60.0
M4: Experiment-Grounded,datasheet,resource_type,llm,10,0.560,0.602,30.0,0.00,70.0
M4: Experiment-Grounded,datasheet,resource_type_general,llm,10,0.635,0.674,30.0,0.00,70.0
M4: Experiment-Grounded,datasheet,publication_year,deterministic,10,0.900,1.000,0.0,0.00,100.0
M4: Experiment-Grounded,datasheet,size,llm,10,0.170,0.176,80.0,0.00,20.0
M4: Experiment-Grounded,datasheet,format,llm,10,0.250,0.196,70.0,0.00,30.0
M4: Experiment-Grounded,datasheet,license,llm,10,0.180,0.180,80.0,0.00,20.0
M4: Experiment-Grounded,model_card,runtime_suggested_hardware,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_expected_f1_range,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_expected_latency_ms,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_typical_deployment_context,experiment_llm,10,0.425,0.425,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_deployment_maturity,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_recommended_min_ram_mb,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_inference_cost_class,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_expected_total_power_w,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_known_failure_modes,experiment_llm,10,0.425,0.425,0.0,0.00,50.0
M4: Patra→MLHub,model_card,name,patra_direct,10,1.000,1.000,0.0,0.00,100.0
M4: Patra→MLHub,model_card,author,patra_direct,10,1.000,1.000,0.0,0.00,100.0
M4: Patra→MLHub,model_card,model_type,patra_direct,10,1.000,1.000,0.0,0.00,100.0
M4: Patra→MLHub,model_card,license,patra_direct,10,0.700,0.700,0.0,0.00,70.0
M4: Patra→MLHub,model_card,task_types,patra_lookup,10,1.000,1.000,0.0,0.00,100.0
M4: Patra→MLHub,model_card,inference_software_dependencies,patra_direct,10,0.000,0.000,0.0,0.00,0.0
M4: Patra→MLHub,model_card,pretraining_datasets,patra_direct,10,0.400,0.400,0.0,0.00,40.0
M4: Patra→MLHub,model_card,keywords,patra_direct,10,1.000,1.000,0.0,0.00,100.0
M4: Patra→MLHub,model_card,libraries,patra_direct,10,1.000,1.000,0.0,0.00,100.0
M4: Patra→MLHub,model_card,inference_hardware,experiment_formula,10,0.795,0.795,0.0,0.00,90.0
M4: Patra→MLHub,model_card,inference_max_energy_consumption_watts,experiment_formula,10,0.795,0.795,0.0,0.00,90.0
M4: Patra→MLHub,model_card,inference_max_latency_ms,experiment_formula,10,0.795,0.795,0.0,0.00,90.0
M4: Patra→MLHub,model_card,inference_min_throughput,experiment_formula,10,0.795,0.795,0.0,0.00,90.0
M4: Patra→MLHub,model_card,inference_max_memory_usage_mb,experiment_formula,10,0.795,0.795,0.0,0.00,90.0
M4: Patra→MLHub,model_card,inference_distributed,experiment_formula,10,0.795,0.795,0.0,0.00,90.0
M4: Patra→MLHub,model_card,image,patra_llm,10,0.170,0.170,0.0,0.00,20.0
M4: Patra→MLHub,model_card,multi_modal,patra_llm,10,0.850,0.850,0.0,0.00,100.0
M4: Patra→MLHub,model_card,model_inputs,patra_llm,10,0.725,0.725,0.0,0.00,100.0
M4: Patra→MLHub,model_card,model_outputs,patra_llm,10,0.650,0.650,0.0,0.00,100.0
